device,date,reading
BMRMUSWACC4,2004/04/29 21:00,14.82
BMRMUSWACC4,2004/04/29 21:10,14.24
BMRMUSWACC4,2004/04/29 21:20,14.24
BMRMUSWACC4,2004/04/29 21:30,13.95
BMRMUSWACC4,2004/04/29 21:40,13.66
BMRMUSWACC4,2004/04/29 21:50,13.37
BMRMUSWACC4,2004/04/29 22:00,13.08
BMRMUSWACC4,2004/04/29 22:10,12.79
BMRMUSWACC4,2004/04/29 22:20,12.79
BMRMUSWACC4,2004/04/29 22:30,12.5
BMRMUSWACC4,2004/04/29 22:40,12.21
BMRMUSWACC4,2004/04/29 22:50,11.92
BMRMUSWACC4,2004/04/29 23:00,11.63
BMRMUSWACC4,2004/04/29 23:10,11.63
BMRMUSWACC4,2004/04/29 23:20,11.63
BMRMUSWACC4,2004/04/29 23:30,11.34
BMRMUSWACC4,2004/04/29 23:40,11.06
BMRMUSWACC4,2004/04/29 23:50,10.77
BMRMUSWACC4,2004/04/30 00:00,10.48
BMRMUSWACC4,2004/04/30 00:10,10.48
BMRMUSWACC4,2004/04/30 00:20,10.48
BMRMUSWACC4,2004/04/30 00:30,10.19
BMRMUSWACC4,2004/04/30 00:40,10.19
BMRMUSWACC4,2004/04/30 00:50,9.9
BMRMUSWACC4,2004/04/30 01:00,9.9
BMRMUSWACC4,2004/04/30 01:10,9.62
BMRMUSWACC4,2004/04/30 01:20,9.62
BMRMUSWACC4,2004/04/30 01:30,9.62
BMRMUSWACC4,2004/04/30 01:40,9.33
BMRMUSWACC4,2004/04/30 01:50,9.33
BMRMUSWACC4,2004/04/30 02:00,9.33
BMRMUSWACC4,2004/04/30 02:10,9.33
BMRMUSWACC4,2004/04/30 02:20,9.33
BMRMUSWACC4,2004/04/30 02:30,9.04
BMRMUSWACC4,2004/04/30 02:40,9.04
BMRMUSWACC4,2004/04/30 02:50,8.75
BMRMUSWACC4,2004/04/30 03:00,8.75
BMRMUSWACC4,2004/04/30 03:10,8.75
BMRMUSWACC4,2004/04/30 03:20,8.46
BMRMUSWACC4,2004/04/30 03:30,8.46
BMRMUSWACC4,2004/04/30 03:40,8.46
BMRMUSWACC4,2004/04/30 03:50,8.46
BMRMUSWACC4,2004/04/30 04:00,8.75
BMRMUSWACC4,2004/04/30 04:10,8.46
BMRMUSWACC4,2004/04/30 04:20,8.46
BMRMUSWACC4,2004/04/30 04:30,8.17
BMRMUSWACC4,2004/04/30 04:40,8.17
BMRMUSWACC4,2004/04/30 04:50,8.17
BMRMUSWACC4,2004/04/30 05:00,8.17
BMRMUSWACC4,2004/04/30 05:10,8.17
BMRMUSWACC4,2004/04/30 05:20,8.17
BMRMUSWACC4,2004/04/30 05:30,7.88
BMRMUSWACC4,2004/04/30 05:40,7.88
BMRMUSWACC4,2004/04/30 05:50,7.88
BMRMUSWACC4,2004/04/30 06:00,7.88
BMRMUSWACC4,2004/04/30 06:10,7.88
BMRMUSWACC4,2004/04/30 06:20,7.88
BMRMUSWACC4,2004/04/30 06:30,8.17
BMRMUSWACC4,2004/04/30 06:40,9.04
BMRMUSWACC4,2004/04/30 06:50,10.19
BMRMUSWACC4,2004/04/30 07:00,11.34
BMRMUSWACC4,2004/04/30 07:10,12.21
BMRMUSWACC4,2004/04/30 07:20,12.79
BMRMUSWACC4,2004/04/30 07:30,13.66
BMRMUSWACC4,2004/04/30 07:40,14.24
BMRMUSWACC4,2004/04/30 07:50,15.41
BMRMUSWACC4,2004/04/30 08:00,16.58
BMRMUSWACC4,2004/04/30 08:10,17.78
BMRMUSWACC4,2004/04/30 08:20,18.67
BMRMUSWACC4,2004/04/30 08:30,19.28
BMRMUSWACC4,2004/04/30 08:40,19.88
BMRMUSWACC4,2004/04/30 08:50,20.49
BMRMUSWACC4,2004/04/30 09:00,21.1
BMRMUSWACC4,2004/04/30 09:10,21.72
BMRMUSWACC4,2004/04/30 09:20,22.03
BMRMUSWACC4,2004/04/30 09:30,22.65
BMRMUSWACC4,2004/04/30 09:40,23.28
BMRMUSWACC4,2004/04/30 09:50,23.6
BMRMUSWACC4,2004/04/30 10:00,24.24
BMRMUSWACC4,2004/04/30 10:10,24.57
BMRMUSWACC4,2004/04/30 10:20,24.89
BMRMUSWACC4,2004/04/30 10:30,25.54
BMRMUSWACC4,2004/04/30 10:40,26.52
BMRMUSWACC4,2004/04/30 10:50,26.85
BMRMUSWACC4,2004/04/30 11:00,27.84
BMRMUSWACC4,2004/04/30 11:10,27.84
BMRMUSWACC4,2004/04/30 11:20,28.52
BMRMUSWACC4,2004/04/30 11:30,29.21
